,open,high,low,close,volume
2023-07-07,191.41,192.67000000000002,190.24,188.413,46600000
2023-07-10,189.26,189.99,187.035,186.368,59095000
2023-07-11,189.16,189.3,186.6,185.844,46486000
2023-07-12,189.68,191.70000000000002,188.47,187.514,59702000
2023-07-13,190.5,191.19,189.78,188.275,40134000
2023-07-14,190.23,191.18,189.63,188.423,41519000
2023-07-17,191.9,194.32,191.81,191.684,49843000
2023-07-18,193.35,194.33,192.415,191.427,48187000
2023-07-19,193.1,198.23000000000002,192.65,192.781,77219000
2023-07-20,195.09,196.47,192.495,190.834,59056000
2023-07-21,194.1,194.97,191.23000000000002,189.65800000000002,63947000
2023-07-24,193.41,194.91,192.25,190.459,44861000
2023-07-25,193.33,194.44,192.915,191.318,36356000
2023-07-26,193.67000000000002,195.64000000000001,193.32,192.18800000000002,45928000
2023-07-27,196.02,197.20000000000002,192.55,190.923,46914000
2023-07-28,194.67000000000002,196.626,194.14000000000001,193.502,47037000
2023-07-31,196.06,196.49,195.26,194.115,38587000
2023-08-01,196.235,196.73000000000002,195.28,193.28,34728000
2023-08-02,195.04,195.18,191.851,190.291,48896000
2023-08-03,191.57,192.37,190.69,188.897,52410000
2023-08-04,185.52,187.38,181.92000000000002,179.827,114896000
2023-08-07,182.13,183.13,177.35,176.724,96954000
2023-08-08,179.69,180.27,177.58,177.663,67603000
2023-08-09,180.87,180.93,177.01,176.072,57797000
2023-08-10,179.48,180.75,177.6,175.854,52636000
2023-08-11,177.32,178.62,176.55,175.91400000000002,51913000
2023-08-14,177.97,179.69,177.305,177.566,43470000
2023-08-15,178.88,179.48,177.05,175.577,43372000
2023-08-16,177.13,178.54,176.5,174.707,45599000
2023-08-17,177.14000000000001,177.505,173.48,172.16400000000002,61242000
2023-08-18,172.3,175.1,171.96,172.648,57975000
2023-08-21,175.07,176.13,173.735,173.984,44990000
2023-08-22,177.06,177.68,176.25,175.36,41384000
2023-08-23,178.52,181.55,178.32500000000002,179.209,51467000
2023-08-24,180.674,181.104,176.01,174.519,53225000
2023-08-25,177.38,179.15,175.82,176.725,49261000
2023-08-28,180.09,180.59,178.54500000000002,178.288,42721000
2023-08-29,179.695,184.9,179.5,182.177,52363000
2023-08-30,184.94,187.85,184.74,185.67000000000002,60586000
2023-08-31,187.84,189.12,187.48,185.887,60205000
2023-09-01,189.485,189.92000000000002,188.28,187.461,44864000
2023-09-05,188.28,189.98,187.61,187.698,44733000
2023-09-06,188.4,188.85,181.47,180.98,81162000
2023-09-07,175.18,178.21,173.54,175.686,112197000
2023-09-08,178.35,180.239,177.79,176.3,65266000
2023-09-11,180.07,180.3,177.34,177.467,58332000
2023-09-12,179.49,180.13,174.82,174.439,89819000
2023-09-13,176.51,177.3,173.98,172.371,83448000
2023-09-14,174.0,176.1,173.58,173.885,59633000
2023-09-15,174.0,176.49,173.82,173.163,109062000
2023-09-18,176.48,179.38,176.17000000000002,176.092,65112000
2023-09-19,177.52,179.63,177.13,177.18,50488000
2023-09-20,179.26,179.695,175.4,173.638,55703000
2023-09-21,174.55,176.3,173.86,172.094,63075000
2023-09-22,174.67000000000002,177.079,174.05,172.945,56410000
2023-09-25,174.20000000000002,176.97,174.15,174.222,45986000
2023-09-26,174.82,175.20000000000002,171.66,170.145,64233000
2023-09-27,172.62,173.04,169.05,168.631,66863000
2023-09-28,169.34,172.03,167.62,168.889,56140000
2023-09-29,172.02,173.07,170.341,169.403,51624000
2023-10-02,171.22,174.3,170.93,171.916,51960000
2023-10-03,172.255,173.63,170.82,170.58100000000002,49040000
2023-10-04,171.09,174.21,170.97,171.827,52739000
2023-10-05,173.79,175.45000000000002,172.68,173.064,48379000
2023-10-06,173.8,177.99,173.18,175.617,57090000
2023-10-09,176.81,179.05,175.8,177.101,42261000
2023-10-10,178.1,179.72,177.95000000000002,176.507,43603000
2023-10-11,178.20000000000002,179.85,177.6,177.90200000000002,47038000
2023-10-12,180.07,182.34,179.04,178.803,56546000
2023-10-13,181.42000000000002,181.93,178.14000000000001,176.96200000000002,51080000
2023-10-16,176.75,179.07500000000002,176.51,176.834,52171000
2023-10-17,176.645,178.42000000000002,174.8,175.28,57418000
2023-10-18,175.58,177.57500000000002,175.11,173.984,54488000
2023-10-19,176.04,177.84,175.19,173.608,57624000
2023-10-20,175.31,175.42000000000002,172.64000000000001,171.055,63071000
2023-10-23,170.91,174.01,169.93,171.174,55238000
2023-10-24,173.05,173.67000000000002,171.45000000000002,171.61,43579000
2023-10-25,171.88,173.06,170.65,169.294,56547000
2023-10-26,170.37,171.377,165.67000000000002,165.129,69285000
2023-10-27,166.91,168.96,166.83,166.445,58296000
2023-10-30,169.02,171.17000000000002,168.87,168.493,50470000
2023-10-31,169.35,170.9,167.9,168.968,44528000
2023-11-01,171.0,174.23,170.12,172.13400000000001,56203000
2023-11-02,175.52,177.78,175.46,175.696,66757000
2023-11-03,174.24,176.82,173.35,174.786,79020000
2023-11-06,176.38,179.43,176.21,177.338,63809000
2023-11-07,179.18,182.44,178.97,179.901,69711000
2023-11-08,182.35,183.45000000000002,181.59,180.96,49176000
2023-11-09,182.96,184.12,181.81,180.485,52447000
2023-11-10,183.97,186.565,183.53,184.67000000000002,66074000
2023-11-13,185.82,186.03,184.21,183.085,41971000
2023-11-14,187.70000000000002,188.11,186.3,185.701,59705000
2023-11-15,187.845,189.5,187.78,186.26500000000001,53227000
2023-11-16,189.57,190.96,188.65,187.95000000000002,54245000
2023-11-17,190.25,190.38,188.57,187.93,50932000
2023-11-20,189.89000000000001,191.905,189.88,189.673,46238000
2023-11-21,191.41,191.52,189.74,188.871,37919000
2023-11-22,191.49,192.93,190.82500000000002,189.535,39270000
2023-11-24,190.87,190.9,189.25,188.207,24043000
2023-11-27,189.92000000000002,190.67000000000002,188.9,188.029,40396000
2023-11-28,189.78,191.08,189.4,188.633,37787000
2023-11-29,190.9,192.09,188.97,187.613,37939000
2023-11-30,189.84,190.32,188.19,188.187,47387000
2023-12-01,190.33,191.56,189.23,189.465,41342000
2023-12-04,189.98,190.05,187.451,187.672,43075000
2023-12-05,190.21,194.4,190.18,191.625,65347000
2023-12-06,194.45000000000002,194.76,192.11,190.535,40895000
2023-12-07,193.63,195.0,193.59,192.467,47339000
2023-12-08,194.20000000000002,195.99,193.67000000000002,193.894,52365000
2023-12-11,193.11,193.49,191.42000000000002,191.387,60778000
2023-12-12,193.08,194.72,191.721,192.903,51288000
2023-12-13,195.09,198.0,194.85,196.123,67760000
2023-12-14,198.02,199.62,196.16,196.272,65964000
2023-12-15,197.53,198.4,197.0,195.737,115071000
2023-12-18,196.09,196.63,194.39000000000001,194.072,54182000
2023-12-19,196.16,196.95000000000002,195.89000000000001,195.112,40253000
2023-12-20,196.9,197.68,194.83,193.022,50130000
2023-12-21,196.1,197.08,193.5,192.873,44114000
2023-12-22,195.18,195.41,192.97,191.803,36963000
2023-12-26,193.61,193.89000000000001,192.83,191.25900000000001,28810000
2023-12-27,192.49,193.5,191.09,191.358,47843000
2023-12-28,194.14000000000001,194.66,193.17000000000002,191.784,33831000
2023-12-29,193.9,194.4,191.725,190.743,42264000
